id,state_po,county,democrat,republican,dempct
666,ID,Lincoln,360.0,1184.0,0.23316062176165803
667,ID,Butte,160.0,914.0,0.148975791433892
668,ID,Adams,415.0,1556.0,0.21055301877219684
669,ID,Custer,427.0,1777.0,0.19373865698729584
670,ID,Fremont,651.0,4090.0,0.13731280320607467
671,ID,Ada,75677.0,93752.0,0.446659072531857
672,ID,Bannock,10342.0,17180.0,0.37577210958505924
673,ID,Bear Lake,255.0,2203.0,0.10374288039056143
674,ID,Benewah,770.0,3103.0,0.19881229021430416
675,ID,Bingham,2924.0,10907.0,0.21140915335116767
676,ID,Blaine,6416.0,3340.0,0.6576465764657646
677,ID,Boise,777.0,2673.0,0.2252173913043478
678,ID,Bonner,5819.0,13343.0,0.3036739380022962
679,ID,Bonneville,8930.0,26699.0,0.25063852479721577
680,ID,Boundary,933.0,3789.0,0.19758576874205844
681,ID,Camas,110.0,410.0,0.21153846153846154
682,ID,Canyon,16883.0,47222.0,0.26336479213789876
683,ID,Caribou,271.0,2275.0,0.10644147682639435
684,ID,Cassia,1036.0,5949.0,0.14831782390837508
685,ID,Clearwater,704.0,2852.0,0.19797525309336333
686,ID,Gem,1229.0,5980.0,0.17048134276598695
687,ID,Gooding,930.0,3743.0,0.19901562165632355
688,ID,Idaho,1196.0,6441.0,0.1566059971192877
689,ID,Jerome,1329.0,4644.0,0.22250125565042692
690,ID,Kootenai,16264.0,44449.0,0.2678833198820681
691,ID,Latah,8093.0,7265.0,0.5269566349785129
692,ID,Lemhi,733.0,3011.0,0.19577991452991453
693,ID,Lewis,270.0,1202.0,0.18342391304347827
694,ID,Minidoka,1167.0,4887.0,0.1927651139742319
695,ID,Nez Perce,4828.0,10699.0,0.31094222966445545
696,ID,Oneida,184.0,1531.0,0.10728862973760933
697,ID,Owyhee,591.0,3052.0,0.1622289321987373
698,ID,Payette,1507.0,6489.0,0.18846923461730866
699,ID,Power,699.0,1666.0,0.2955602536997886
700,ID,Shoshone,1384.0,3297.0,0.2956633198034608
701,ID,Teton,2159.0,2167.0,0.4990753582986593
702,ID,Twin Falls,6233.0,19828.0,0.2391696404589233
703,ID,Valley,1913.0,2906.0,0.39697032579373315
704,IL,Calhoun,739.0,1721.0,0.30040650406504066
705,IL,Clay,1020.0,5021.0,0.16884621751365667
706,IL,DeKalb,20466.0,19091.0,0.5173799833152161
707,IL,Fayette,1819.0,7372.0,0.1979109998911979
708,IL,Franklin,4727.0,13116.0,0.26492181807991927
709,IL,Greene,1205.0,4145.0,0.2252336448598131
710,IL,Henry,8871.0,13985.0,0.38812565628281415
711,IL,Jackson,11634.0,10843.0,0.5175957645593273
712,IL,Jefferson,4425.0,11695.0,0.27450372208436724
713,IL,Lawrence,1290.0,4521.0,0.2219927723283428
714,IL,Lee,5528.0,8612.0,0.39094766619519095
715,IL,Macon,18343.0,26866.0,0.4057377955716782
716,IL,Madison,50587.0,70490.0,0.4178085020276353
717,IL,Marion,4369.0,11859.0,0.26922602908553117
718,IL,Marshall,1789.0,3785.0,0.32095443128812345
719,IL,Monroe,5535.0,12629.0,0.3047236291565734
720,IL,Montgomery,3504.0,8630.0,0.28877534201417504
721,IL,Morgan,4696.0,9076.0,0.34098170200406624
722,IL,Perry,2462.0,6855.0,0.2642481485456692
